Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
159,28,Sulawesi,Sulawesi Selatan,Kabupaten,Bulukumba,Kabupaten Bulukumba,-5.425673,120.203804,92511,3384876,443292,1500052352432,0.00490
160,28,Sulawesi,Sulawesi Selatan,Kabupaten,Enrekang,Kabupaten Enrekang,-3.573256,119.752596,91711,3384876,230622,780587150072,0.00255
161,28,Sulawesi,Sulawesi Selatan,Kabupaten,Gowa,Kabupaten Gowa,-5.370028,119.689257,92111,3384876,783167,2651057999132,0.00867
162,28,Sulawesi,Sulawesi Selatan,Kabupaten,Jeneponto,Kabupaten Jeneponto,-5.582748,119.641924,92311,3384876,410639,1389935158684,0.00454
163,28,Sulawesi,Sulawesi Selatan,Kabupaten,Luwu,Kabupaten Luwu,-2.811711,120.124027,91992,3384876,369820,1252165986320,0.00409
164,28,Sulawesi,Sulawesi Selatan,Kabupaten,Luwu Timur,Kabupaten Luwu Timur,-3.350617,120.347328,92981,3384876,305521,1034197755796,0.00338
165,28,Sulawesi,Sulawesi Selatan,Kabupaten,Luwu Utara,Kabupaten Luwu Utara,-2.382177,119.944564,92917,3384876,327820,1110486931520,0.00363
166,28,Sulawesi,Sulawesi Selatan,Kota,Makassar,Kota Makassar,-5.147665,119.432731,90111,3513982,1432189,5035400861958,0.01646
167,28,Sulawesi,Sulawesi Selatan,Kabupaten,Maros,Kabupaten Maros,-5.055282,119.630989,90511,3384876,403774,1368054428024,0.00447
168,28,Sulawesi,Sulawesi Selatan,Kota,Palopo,Kota Palopo,-2.978439,120.091282,91911,3384876,190867,645665090092,0.00211
169,28,Sulawesi,Sulawesi Selatan,Kabupaten,Pangkajene Kepulauan,Kabupaten Pangkajene Kepulauan,-4.836786,119.551274,90611,3384876,345775,1170136792100,0.00383
170,28,Sulawesi,Sulawesi Selatan,Kota,Parepare,Kota Parepare,-4.016054,119.620803,91121,3384876,154854,524493465504,0.00171
171,28,Sulawesi,Sulawesi Selatan,Kabupaten,Pinrang,Kabupaten Pinrang,-3.742875,119.520969,91211,3384876,411795,1393862671620,0.00456
172,28,Sulawesi,Sulawesi Selatan,Kabupaten,Selayar (Kepulauan Selayar),Kabupaten Selayar,-6.004651,120.58712,92812,3384876,137974,466899096824,0.00153
173,28,Sulawesi,Sulawesi Selatan,Kabupaten,Sidenreng Rappang/Rapang,Kabupaten Sidenreng Rappang,-3.894785,119.926524,91611,3384876,319990,1086220653840,0.00355
174,28,Sulawesi,Sulawesi Selatan,Kabupaten,Sinjai,Kabupaten Sinjai,-5.161904,120.250178,92611,3384876,263827,892190119852,0.00292
175,28,Sulawesi,Sulawesi Selatan,Kabupaten,Soppeng,Kabupaten Soppeng,-4.399586,119.9107,90811,3384876,236049,798064736124,0.00261
176,28,Sulawesi,Sulawesi Selatan,Kabupaten,Takalar,Kabupaten Takalar,-5.354139,119.534573,92211,3384876,305077,1033033183052,0.00338
